CCCCCCCC/C=C\CCCCCCCC(N)=O,0
CCCCCCOC(=O)c1ccccc1,0
O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
COc1cc(Cl)c(OC)cc1N,0
N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,0
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0
CCCC(CCC)C(=O)[O-],0
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,0
CCC(C)C1N=C(C)C(C)S1,0
C=CCCCCCCCC,0
O=P([O-])([O-])OC(CO)CO,0
O=C(O)c1cccc(C(=O)O)n1,0
O=[N+]([O-])C=Cc1ccccc1,1
N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,1
O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,0
CCCC1CCC(=O)O1,0
c1ccc2cnncc2c1,0
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,0
C/C=C1\NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,1
CC(Cl)CCl,0
CC(=O)OCCC(C)CC(C)(C)C,0
COc1cc(CCC(C)=O)ccc1O,0
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1
O=C(CBr)c1ccccc1,0
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
CC(=O)Nc1c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(I)c(N(C)C(C)=O)c1I,0
O=P1(NCCCl)OCCCN1CCCl,0
CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,0
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0
CCCCCCCCCCCCOS(=O)(=O)[O-],0
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,0
O=C(O)CCCOc1ccc(Cl)cc1Cl,0
O=C(c1ccccc1)c1cc(Cl)ccc1O,0
